"","location","start.date","stratum","start.depth_m","end.depth_m","taxon.code","species.name","subsample.volume_mL","cell.count","correction.factor","cell.length_um","cell.width_um","cell.volume_um3","cell.density_cells.L","biomass_mg.m3","stratum.volume"
"3","227",2013-05-22,"EPI","0.00","1.30","P2121","Oocystis lacustris Chodat","2","3","39683","6.00","3.00","28.30","119049","3.37",NA
"4","227",2013-05-22,"EPI","0.00","1.30","P2132","Scenedesmus denticulatus Lagerhiem","2","6","39683","9.30","5.00","81.20","238098","19.33",NA
"5","227",2013-05-22,"EPI","0.00","1.30","P2137","Dictyosphaerium simplex Sukja","2","28","39683","6.00","6.00","113.10","1111124","125.67",NA
"6","227",2013-05-22,"EPI","0.00","1.30","P2141","Monoraphidium contortum (Thur.) Komarkova-Legnerova","2","3","39683","20.00","1.50","17.70","119049","2.11",NA
"7","227",2013-05-22,"EPI","0.00","1.30","P2145","Crucigenia quadrata Morr.","2","8","39683","3.00","3.00","4.70","317464","1.49",NA
"8","227",2013-05-22,"EPI","0.00","1.30","P2199","Spondylosium planum (Wolle) W. and G.S. West","2","1","39683","6.00","6.00","37.70","39683","1.50",NA
"9","227",2013-05-22,"EPI","0.00","1.30","P2235","Ankistrodesmus spiralis Lemmermann","2","2","39683","31.00","2.20","58.90","79366","4.67",NA
"10","227",2013-05-22,"EPI","0.00","1.30","P4351","Small chrysophyceae","2","22","39683","3.00","3.00","14.10","873026","12.31",NA
"11","227",2013-05-22,"EPI","0.00","1.30","P4352","Large chrysophyceae","2","8","39683","9.00","9.00","381.70","317464","121.18",NA
"12","227",2013-05-22,"EPI","0.00","1.30","P4355","Chrysochromulina parva Lackey","2","233","39683","5.00","5.00","65.40","9246139","604.70",NA
"13","227",2013-05-22,"EPI","0.00","1.30","P4355","Chrysochromulina parva Lackey","2","12","39683","10.00","6.00","188.50","476196","89.76",NA
"14","227",2013-05-22,"EPI","0.00","1.30","P4388","Dinobryon sertularia Ehrenberg","2","1","39683","12.00","6.00","226.20","39683","8.98",NA
"15","227",2013-05-22,"EPI","0.00","1.30","P4388","Dinobryon sertularia Ehrenberg","2","3","1000","0.00","0.00","10170.00","3000","30.51",NA
"16","227",2013-05-22,"EPI","0.00","1.30","P4396","Chrysolkos skuja (Nauwerck) Willen","2","1","39683","6.00","3.00","28.30","39683","1.12",NA
"17","227",2013-05-22,"EPI","0.00","1.30","P4403","Chrysosphaerella longispina Lauterborn","2","2","39683","11.00","11.00","696.90","79366","55.31",NA
"18","227",2013-05-22,"EPI","0.00","1.30","P4418","Salpingoeca frequentissima (Zach.) Lemmermann","2","4","39683","6.00","4.00","50.30","158732","7.98",NA
"19","227",2013-05-22,"EPI","0.00","1.30","P4436","Dinobryon attenatum Hill","2","1","39683","11.40","6.00","214.90","39683","8.53",NA
"20","227",2013-05-22,"EPI","0.00","1.30","P5511","Rhizosolenia eriense H.L. Smith","2","1","39683","11.00","3.00","77.80","39683","3.09",NA
"21","227",2013-05-22,"EPI","0.00","1.30","P5550","Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot","2","3","39683","33.00","4.00","138.20","119049","16.45",NA
"22","227",2013-05-22,"EPI","0.00","1.30","P6554","Rhodomonas minuta Skuja","2","1","39683","12.00","6.00","150.80","39683","5.98",NA
"23","227",2013-05-22,"EPI","0.00","1.30","P6557","Cryptomonas pusilla Bachmann","2","14","39683","16.00","10.00","558.50","555562","310.28",NA
"24","227",2013-05-22,"EPI","0.00","1.30","P6558","Cryptomonas erosa Ehrenberg","2","213","1000","24.20","14.00","1655.70","213000","352.66",NA
"25","227",2013-05-22,"EPI","0.00","1.30","P6559","Cryptomonas ovata Ehrenberg","2","20","1000","40.00","16.00","3574.40","20000","71.49",NA
"26","227",2013-05-22,"EPI","0.00","1.30","P6562","Cryptomonas reflexa (Marsson) Skuja","2","4","1000","21.00","10.00","733.00","4000","2.93",NA
"27","227",2013-05-22,"EPI","0.00","1.30","P6565","Cryptomonas rostratiformis Skuja","2","26","1000","31.00","14.00","2120.90","26000","55.14",NA
"28","227",2013-05-22,"EPI","0.00","1.30","P6568","Katablepharis ovalis Skuja","2","18","39683","8.60","4.00","51.60","714294","36.86",NA
"29","227",2013-05-22,"EPI","0.00","1.30","P7632","Gymnodinium sp.","2","2","39683","10.60","8.00","355.20","79366","28.19",NA
"30","227",2013-05-22,"EPI","0.00","1.30","P7632","Gymnodinium sp.","2","29","1000","34.00","34.00","20579.50","29000","596.81",NA
"31","227",2013-05-22,"EPI","0.00","1.30","P7639","Peridinium pusillum (Penard) Lemmermann","2","8","1000","16.00","14.00","1642.00","8000","13.14",NA
"32","227",2013-05-22,"EPI","0.00","1.30","P7641","Peridinium aciculiferum Lemmermann","2","82","1000","31.00","24.00","9349.40","82000","766.65",NA
"33","227",2013-05-22,"META","1.30","4.00","P2101","Carteria spp.","2","1","39683","6.00","4.00","50.30","39683","2.00",NA
"34","227",2013-05-22,"META","1.30","4.00","P2105","Chlamydomonas spp.","2","8","39683","8.00","5.00","104.70","317464","33.24",NA
