"","year","data_set","sample.id","sequence.number","location","sublocation","station","station.type","start.date","start.time","stratum","stratum.volume","sample.type","start.depth_m","end.depth_m","taxon.code","old.cell.volume","cell.volume_um3","correction.factor","cell.count","cell.count2","cell.length_um","cell.width_um","field.ref","cell.density_cells.L","biomass_mg.m3","collection.authority","collection.method","analyst"
"1",1970,"P01",1,1,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P1020",2000,2661,200,1,NA,0,0,"70PF0020",200,0.5322,144,"TIP",144
"2",1970,"P01",1,2,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P1059",300,300,7184,1,NA,NA,NA,"70PF0020",7184,2.1552,144,"TIP",144
"3",1970,"P01",1,3,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P1062",50,32,7184,35,NA,1.8,1.3,"70PF0020",251440,8.04608,144,"TIP",144
"4",1970,"P01",1,4,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P2105",1000,171,7184,3,NA,9,5.3,"70PF0020",21552,3.68539,144,"TIP",144
"5",1970,"P01",1,5,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P2105",300,171,7184,4,NA,9,5.3,"70PF0020",28736,4.91386,144,"TIP",144
"6",1970,"P01",1,6,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P2159",50,50,7184,2,NA,NA,NA,"70PF0020",14368,0.7184,144,"TIP",144
"7",1970,"P01",1,7,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P2196",4000,1981,200,3,NA,23,18,"70PF0020",600,1.1886,144,"TIP",144
"8",1970,"P01",1,8,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P2196",2000,1981,200,2,NA,23,18,"70PF0020",400,0.7924,144,"TIP",144
"9",1970,"P01",1,9,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P2196",2000,1981,7184,1,NA,23,18,"70PF0020",7184,14.2315,144,"TIP",144
"10",1970,"P01",1,10,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P2201",100,36,7184,6,NA,4.3,3.7,"70PF0020",43104,1.55174,144,"TIP",144
"11",1970,"P01",1,11,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P2206",15000,29503,200,5,NA,38,38,"70PF0020",1000,29.503,144,"TIP",144
"12",1970,"P01",1,12,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P3301",9000,6949,7184,5,NA,76.4,12.4,"70PF0020",35920,249.60808,144,"TIP",144
"13",1970,"P01",1,13,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P4351",100,50,7184,16,NA,4.6,4.6,"70PF0020",114944,5.7472,144,"TIP",144
"14",1970,"P01",1,14,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P4352",300,208,7184,2,NA,6.5,6.5,"70PF0020",14368,2.98854,144,"TIP",144
"15",1970,"P01",1,15,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P4362",100,31,7184,13,NA,3.8,3.8,"70PF0020",93392,2.89515,144,"TIP",144
"16",1970,"P01",1,16,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P4387",750,358,7184,232,NA,19,6,"70PF0020",1666688,596.6743,144,"TIP",144
"17",1970,"P01",1,17,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P4396",300,113,7184,1,NA,6,6,"70PF0020",7184,0.81179,144,"TIP",144
"18",1970,"P01",1,18,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P5513",2000,882,200,1,NA,72,6.7,"70PF0020",200,0.1764,144,"TIP",144
"19",1970,"P01",1,19,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P5518",200,80,7184,3,NA,76.7,2,"70PF0020",21552,1.72416,144,"TIP",144
"20",1970,"P01",1,20,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P5518",200,80,200,1,NA,76.7,2,"70PF0020",200,0.016,144,"TIP",144
"21",1970,"P01",1,21,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P5524",100,103,200,1,NA,81.6,2.2,"70PF0020",200,0.0206,144,"TIP",144
"22",1970,"P01",1,22,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P6554",150,56,7184,12,NA,10,4,"70PF0020",86208,4.82765,144,"TIP",144
"23",1970,"P01",1,23,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P6557",500,268,7184,4,NA,12,8,"70PF0020",28736,7.70125,144,"TIP",144
"24",1970,"P01",1,24,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P6559",5000,2568,200,20,NA,30.5,15.5,"70PF0020",4000,10.272,144,"TIP",144
"25",1970,"P01",1,25,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P6565",8000,4109,200,1,NA,42,16.5,"70PF0020",200,0.8218,144,"TIP",144
"26",1970,"P01",1,26,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P6568",100,51,7184,1,NA,8,4.6,"70PF0020",7184,0.36638,144,"TIP",144
"27",1970,"P01",1,27,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P7636",5000,5000,200,2,NA,NA,NA,"70PF0020",400,2,144,"TIP",144
"28",1970,"P01",1,28,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P7636",30000,30000,200,1,NA,NA,NA,"70PF0020",200,6,144,"TIP",144
"29",1970,"P01",1,29,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P7638",1000,2649,200,1,NA,20,15.7,"70PF0020",200,0.5298,144,"TIP",144
"30",1970,"P01",1,30,227,"LA","CB","FBS",1970-04-09,NA,"EPI",165551,"IND",0,5,"P7641",9000,8746,200,1,NA,29,24,"70PF0020",200,1.7492,144,"TIP",144
"31",1999,"P01",1,1,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P6565",NA,2052,39683,22,NA,30,14,"K053",873026,1791.44935,144,"TIP",144
"32",1999,"P01",1,2,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P6558",NA,704,39683,4,NA,14,12,"K053",158732,111.74733,144,"TIP",144
"33",1999,"P01",1,3,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P4368",NA,1257,39683,5,NA,24,10,"K053",198415,249.40766,144,"TIP",144
"34",1999,"P01",1,4,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P2132",NA,45,39683,4,NA,8,4,"K053",158732,7.14294,144,"TIP",144
"35",1999,"P01",1,5,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P2105",NA,268,39683,4,NA,8,8,"K053",158732,42.54018,144,"TIP",144
"36",1999,"P01",1,6,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P2235",NA,64,39683,24,NA,41,2,"K053",952392,60.95309,144,"TIP",144
"37",1999,"P01",1,7,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P2141",NA,19,39683,20,NA,22,1.5,"K053",793660,15.07954,144,"TIP",144
"38",1999,"P01",1,8,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P4351",NA,14,39683,26,NA,3,3,"K053",1031758,14.44461,144,"TIP",144
"39",1999,"P01",1,9,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P4352",NA,113,39683,7,NA,6,6,"K053",277781,31.38925,144,"TIP",144
"40",1999,"P01",1,10,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P1052",NA,247,39683,3,NA,140,1.5,"K053",119049,29.4051,144,"TIP",144
"41",1999,"P01",1,11,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P4454",NA,113,39683,64,NA,6,6,"K053",2539712,286.98746,144,"TIP",144
"42",1999,"P01",1,12,227,"LA","CB","FBS",1999-05-12,NA,"EPI",83053,"IND",0,2,"P2121",NA,67,39683,3,NA,8,4,"K053",119049,7.97628,144,"TIP",144
