"Location.ID","Sublocation.ID","Station.ID","Start.Date","Year","Start.Time","Start.Depth..m.","End.Depth..m.","Stratum","Stratum.Volume..m..","Sequence.Number","Taxon.Code","Old.Cell.Volume..µm..","Cell.Volume..µm..","Correction.Factor","Number.Cells.count.1","Number.Cells.count.2","Chloroplast.Length..µm.","Chloroplast.Width..µm.","Cell.L..","Biomass..µg.mL...","Sample.Type","Collection.Method","Collection.Authority","Field.Reference","Data.Set.ID","Update.date"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,25,"P6565",8000,4109,200,1,NA,42,16.5,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,30,"P7641",9000,8746,200,1,NA,29,24,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,29,"P7638",1000,2649,200,1,NA,20,15.7,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,28,"P7636",30000,30000,200,1,NA,NA,NA,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,26,"P6568",100,51,7184,1,NA,8,4.6,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,24,"P6559",5000,2568,200,20,NA,30.5,15.5,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,23,"P6557",500,268,7184,4,NA,12,8,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,22,"P6554",150,56,7184,12,NA,10,4,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,21,"P5524",100,103,200,1,NA,81.6,2.2,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,20,"P5518",200,80,200,1,NA,76.7,2,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,19,"P5518",200,80,7184,3,NA,76.7,2,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,18,"P5513",2000,882,200,1,NA,72,6.7,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,17,"P4396",300,113,7184,1,NA,6,6,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,16,"P4387",750,358,7184,232,NA,19,6,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,15,"P4362",100,31,7184,13,NA,3.8,3.8,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
"227","LA","CB","4/9/1970",70,"",0,5,"EPI",165551,3,"P1062",50,32,7184,35,NA,1.8,1.3,NA,NA,"IND","TIP",144,"70PF0020","P01","10/11/1994"
