"Year","Month","Day","CloudI","AirTempI","HumidityI","AirPressureI","WindSpeedI","InflowTempI","TPI","DOCI","NO3I","NH4I","SO4I","Fe2I","Ca2I","pHI","Fe3I","SiO2I"
1969,6,27,0.662,12.25,82,971,2,14.23,18.37388802,28833.11722,39.22074253,31.32349814,4112.947598,420.0153942,2130.978977,4.797259197,93.22155719,4875.231145
1969,6,28,0.838,12.2,92,971,1.4,14.18,18.4005310100984,28801.563949764,39.120018784,31.2552243756066,4109.68382205279,419.766040357685,2129.41839019016,4.79725919685702,93.1662058267023,4868.23683263666
1969,6,29,1,14.45,80,971,1.45954183653659,16.03,18.4271740001967,28770.010679528,39.019295038,31.1869506112131,4106.42004610557,419.51668651537,2127.85780338033,4.79725919685702,93.1108544634047,4861.24252027331
1969,6,30,0.962,11.4,89,971,1.45954183653659,13.53,18.4538169902951,28738.457409292,38.918571292,31.1186768468197,4103.15627015836,419.267332673054,2126.29721657049,4.79725919685702,93.055503100107,4854.24820790997
1969,7,1,1,12.2,88,971,1.45954183653659,14.18,18.4804599803934,28706.904139056,38.817847546,31.0504030824262,4099.89249421114,419.017978830739,2124.73662976066,4.79725919685702,93.0001517368093,4847.25389554662
1969,7,2,1,13.9,88,971,1.45954183653659,15.58,18.5071029704918,28675.3508688201,38.7171238,30.9821293180328,4096.62871826393,418.768624988424,2123.17604295082,4.79725919685702,92.9448003735117,4840.25958318328
1969,7,3,1,15.3,77,971,1.45954183653659,16.73,18.5337459605902,28643.7975985841,38.616400054,30.9138555536393,4093.36494231672,418.519271146109,2121.61545614098,4.79725919685702,92.889449010214,4833.26527081994
1969,7,4,1,13.05,81,971,1.45954183653659,14.88,18.5603889506885,28612.2443283481,38.515676308,30.8455817892459,4090.1011663695,418.269917303794,2120.05486933115,4.79725919685702,92.8340976469163,4826.27095845659
1969,7,5,1,11.4,88,971,1.45954183653659,13.53,18.5870319407869,28580.6910581121,38.414952562,30.7773080248525,4086.83739042229,418.020563461479,2118.49428252131,4.79725919685702,92.7787462836187,4819.27664609325
1969,7,6,1,13.6,92,971,1.45954183653659,15.33,18.6136749308852,28549.1377878761,38.314228816,30.709034260459,4083.57361447507,417.771209619163,2116.93369571148,4.79725919685702,92.723394920321,4812.2823337299
1969,7,7,1,16.7,93,971,1.45954183653659,17.87,18.6403179209836,28517.5845176401,38.21350507,30.6407604960656,4080.30983852786,417.521855776848,2115.37310890164,4.79725919685702,92.6680435570233,4805.28802136656
1969,7,8,1,14.7,93,971,1.45954183653659,16.23,18.666960911082,28486.0312474041,38.112781324,30.5724867316721,4077.04606258064,417.272501934533,2113.8125220918,4.79725919685702,92.6126921937257,4798.29370900322
1969,7,9,0.875,19.45,98,972,1.6,20.13,18.6936039011803,28454.4779771681,38.012057578,30.5042129672787,4073.78228663343,417.023148092218,2112.25193528197,4.79725919685702,92.557340830428,4791.29939663987
1969,7,10,0.912,19.7,96,972,1.1,20.33,18.7202468912787,28422.9247069322,37.911333832,30.4359392028852,4070.51851068622,416.773794249903,2110.69134847213,4.79725919685702,92.5019894671303,4784.30508427653
1969,7,11,0.625,20.55,78,972,0.5,21.03,18.746889881377,28391.3714366962,37.810610086,30.3676654384918,4067.254734739,416.524440407588,2109.1307616623,4.79725919685702,92.4466381038327,4777.31077191318
1969,7,12,0.162,25.25,97,973,1.9,24.89,18.7735328714754,28359.8181664602,37.70988634,30.2993916740984,4063.99095879179,416.275086565272,2107.57017485246,4.79725919685702,92.391286740535,4770.31645954984
