-999	"MyLake model input data time series for Lake 227, accessed from https://github.com/biogeochemistry/ELA_MyLake_model. Documentation from R. Boysseu was unclear which date this was taken from"																													
Z (m)	Az (m2)	Tz (deg C)	Cz	Sz (kg/m3)	TPz (mg/m3)	DOPz (mg/m3)	Chlaz (mg/m3)	DOCz (mg/m3)	TPz_sed (mg/m3)	Chlaz_sed (mg/m3)	"Fvol_IM (m3/m3, dry w.)"	Hice (m)	Hsnow (m)	O2z	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4z (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 SiO4z (mg/m3)	 SiO2z (mg/m3)	 diatomz (mg/m3)	 POPz (mg/m3)
0	50000	0	0.025829972	0.004	13.35311633	5.21E-07	0.025829972	1722.670016	7.57E+05	1.97E+05	0.92	0.390291256	0.108801007	9895.915064	23702.34245	434.2816917	0.01828948	3245.26644	8.87E-05	3.36765000000000e-319	1.86E-11	1999.567631	4.818687072	0	0.001252556	0	0	0	0	3.06064000000000e-319
1	41700	4.531360156	1.344016213	0.004	16.09384585	1.32E-06	1.344016213	1810.042275	7.57E+05	1.97E+05	0.92	0	0	8709.560069	26656.17511	530.7680811	1.400524536	3228.930303	6.14E-04	3.36765000000000e-319	2.17E-07	1999.56929	4.818687072	4.70E-11	0.109342068	0	0	0	0	3.06064000000000e-319
2	33000	4.531360156	1.388423282	0.004	16.09438731	1.27E-06	1.388423282	1812.74977	7.57E+05	1.97E+05	0.92	0	0	8711.343018	26654.04243	532.6777044	0.909302015	3229.189569	4.49E-04	3.36765000000000e-319	1.40E-07	1999.569302	4.818687072	3.02E-11	0.113333359	0	0	0	0	3.06064000000000e-319
3	28500	4.531360156	1.390805529	0.004	16.08521583	1.23E-06	1.390805529	1813.196992	7.57E+05	1.97E+05	0.92	0	0	8716.646239	26709.99995	533.5619141	0.588829482	3229.411014	3.41E-04	3.36765000000000e-319	9.00E-08	1999.569304	4.818687072	1.92E-11	0.113572875	0	0	0	0	3.06064000000000e-319
4	26000	4.531360156	1.403985507	0.004	16.17929734	1.27E-06	1.403985507	1815.9368	7.57E+05	1.97E+05	0.92	0	0	8681.196422	26840.80858	536.1714867	0.744917559	3228.833682	3.94E-04	3.36765000000000e-319	1.14E-07	1999.569363	4.818687072	2.45E-11	0.114867484	0	0	0	0	3.06064000000000e-319
5	23100	4.499266295	2.922918183	0.004	20.03496142	2.00E-06	2.922918183	1859.558112	7.57E+05	1.97E+05	0.92	0	0	7262.871085	30327.90832	664.1592306	1.462036802	3208.211993	0.000680348	3.36765000000000e-319	2.32E-07	1999.571964	4.818687072	4.89E-11	0.275173113	0	0	0	0	3.06064000000000e-319
6	18100	4.41046306	4.579913205	0.004	23.00497831	2.88E-06	4.579913205	1892.677491	7.57E+05	1.97E+05	0.92	0	0	6147.262306	32680.45817	756.572045	1.931950844	3186.42485	0.000898669	3.36765000000000e-319	3.15E-07	1999.573596	4.818687072	6.48E-11	0.47223699	0	0	0	0	3.06064000000000e-319
7	13000	4.355529806	5.718873046	0.004	25.29543454	3.86E-06	5.718873046	1907.175226	7.57E+05	1.97E+05	0.92	0	0	5246.68469	34456.21363	822.9581998	2.184547235	3164.297949	0.001063067	3.36765000000000e-319	3.69E-07	1999.574462	4.818687072	7.32E-11	0.630180778	0	0	0	0	3.06064000000000e-319
8	8900	4.334229509	6.564670629	0.004	27.58542882	5.76E-06	6.564670629	1914.830117	7.57E+05	1.97E+05	0.92	0	0	4238.247692	36320.46691	884.352276	3.043181069	3136.434068	0.001515366	3.36765000000000e-319	5.28E-07	1999.574996	4.818687072	1.02E-10	0.765831024	0	0	0	0	3.06064000000000e-319
9	5100	4.332411455	6.849347577	0.004	28.6341749	7.63E-06	6.849347577	1917.892708	7.57E+05	1.97E+05	0.92	0	0	3707.998315	37338.3096	894.6067687	8.382176149	3120.117934	0.003472598	3.36765000000000e-319	1.38E-06	1999.575115	4.818687072	2.85E-10	0.815314155	0	0	0	0	3.06064000000000e-319
10	0	4.33236138	6.862966688	0.004	29.28563143	9.59E-06	6.862966688	1919.221952	7.57E+05	1.97E+05	0.92	0	0	3366.488155	38074.47719	854.8700884	24.98057546	3107.607277	0.009070431	3.36765000000000e-319	3.97E-06	1999.575119	4.818687072	8.55E-10	0.81776254	0	0	0	0	3.06064000000000e-319
