"JulianDay","Cloud","AirTemp","Humidity","AirPressure","WindSpeed","Precipitation","InflowTemp","TP","DOC","NO3","NH4","SO4","Fe2","Ca2","pH","Fe3","SiO2"
1,0.627596001558766,-12.5734977424793,97.2775662967751,965.321360454186,1.79052621534997,0.286624798018322,0,29.5698694801015,41370.8772221119,-38.9723688438169,15.2777016378624,5965.78855531346,288.172178849041,1633.66744509476,4.797259197,118.160036094632,4506.64291985223
2,0.3669633132248,-20.1529515460574,61.3526685492103,966.608971855252,1.4749801239998,0,0,16.7482690857131,35086.1497732261,19.4004130796793,28.7796421004201,7249.20907217036,348.455682805525,1740.96753872264,4.797259197,127.623584283592,6111.42003661934
3,0.594661991067751,-21.2368876956983,92.6901293450901,968.974525054566,0.655058180030549,0,0,4.31733529540125,37563.7688417301,102.709106617501,63.8717825700162,3090.24268423923,331.87809033376,1849.48913465351,4.797259197,72.665532986043,3800.98557060958
4,0.562619344773469,-29.1453793123476,79.5320982774258,967.169738040013,1.73518356322612,0,-0.126534539933457,23.8481756133584,29604.3334026155,-19.1400763016165,30.760588916316,7194.67504815948,365.239827654403,2243.30480995198,4.797259197,86.9278230417052,6380.9780733074
5,0.598716099065734,-29.5118515589607,73.2572504368067,965.159171937362,1.48285000051515,1.5651328728945,0,34.6158405942307,18680.9619693096,157.062169007233,45.0232358837289,-2690.2905184548,378.925134883519,2173.57632679143,4.797259197,87.2478632818062,5289.84025954015
6,1.01872157045036,-10.0031159104595,63.0504804287123,966.716830117109,1.57969434378354,0.939129018409428,0,17.3799949668565,18002.7735963801,33.3217288866062,20.4838200832262,2898.24564467364,300.22843609438,2498.34417089494,4.797259197,149.261674338102,3545.21675407558
7,0.657057692087771,-7.74430936744589,60.5624871646888,962.95318563196,2.23377985860379,2.95018966750793,0,20.4870065476496,23152.660398063,110.342007817314,5.18816908826744,10100.2511297235,455.181357265692,3019.03264324487,4.797259197,78.7071253312056,4948.54476589917
8,0.646493473582766,-22.7545513722428,56.5838300064529,967.792068106567,0.573184965620745,0,-1.35273226086026,43.4071442121869,19123.807475008,36.0497069505763,74.8792801973863,9360.83922596042,391.964767817688,1639.70409966701,4.797259197,38.0753962512077,5853.14288594898
9,0.992926212030625,-15.7313294806421,68.0984598716072,967.540914765479,-0.120536614943883,0,-0.0297345013425296,21.2017706016995,20467.6423034278,54.5241435939492,11.794778761606,8241.65169178353,326.609973494658,3423.8916643033,4.62915480403287,103.311281515297,5363.06938327894
10,0.470954837241595,-22.5637396428476,83.0880110914291,964.308487668223,1.79528223894,4.12698739287288,0.44573524178204,28.0317717954925,28302.942945354,10.1990151649813,15.6828552168514,6252.57989891355,330.600455282749,1060.31428071285,4.797259197,60.5675785425267,5274.54697997565
