-999	"MyLake model input data time series for Lake 227, accessed from https://github.com/biogeochemistry/ELA_MyLake_model. Documentation from R. Boysseu was unclear which date this was taken from"																													
Z (m)	Az (m2)	Tz (deg C)	Cz	Sz (kg/m3)	TPz (mg/m3)	DOPz (mg/m3)	Chlaz (mg/m3)	DOCz (mg/m3)	TPz_sed (mg/m3)	Chlaz_sed (mg/m3)	"Fvol_IM (m3/m3, dry w.)"	Hice (m)	Hsnow (m)	O2z	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4z (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 SiO4z (mg/m3)	 SiO2z (mg/m3)	 diatomz (mg/m3)	 POPz (mg/m3)
0	50000	0	0.746653129	0.004	11.30569525	2.35E-13	0.746653129	7124.113822	7.57E+05	1.97E+05	0.92	0.325431804	0.077675065	7345.7715	19877.63276	1026.059226	0.167837961	6890.870522	0.000823357	3.36765000000000e-319	2.51E-07	3318.754938	4.792214172	0	52.32293293	0	0	0	0	3.79E-97
1	41700	4.223849274	4.030702188	0.004	17.02685694	3.44E-13	4.030702188	5435.106533	7.57E+05	1.97E+05	0.92	0	0	5805.98912	25246.24019	1263.20732	0.21939685	5573.683354	0.001174877	3.36765000000000e-319	4.74E-07	3156.463637	4.786470881	0	66.37269599	0	0	0	0	4.09E-95
2	33000	4.223849274	4.073593975	0.004	17.07632214	3.45E-13	4.073593975	5408.823791	7.57E+05	1.97E+05	0.92	0	0	5793.185432	25280.86628	1265.210835	0.218877784	5509.506267	0.001173137	3.36765000000000e-319	4.78E-07	3155.412107	4.786470881	0	66.98031835	0	0	0	0	4.24E-95
3	28500	4.223849274	4.073508301	0.004	17.08112019	3.45E-13	4.073508301	5408.043662	7.57E+05	1.97E+05	0.92	0	0	5791.996046	25427.68083	1265.403282	0.218891692	5507.780192	0.001173279	3.36765000000000e-319	4.79E-07	3155.383831	4.786470881	0	67.01518914	0	0	0	0	4.25E-95
4	26000	4.223849274	4.072985626	0.004	17.08232162	3.45E-13	4.072985626	5408.111026	7.57E+05	1.97E+05	0.92	0	0	5791.701929	25435.74833	1265.451402	0.218904758	5507.735395	0.001173364	3.36765000000000e-319	4.79E-07	3155.383097	4.786470881	0	67.0171466	0	0	0	0	4.25E-95
5	23100	4.223849274	4.072805809	0.004	17.08268656	3.45E-13	4.072805809	5408.143551	7.57E+05	1.97E+05	0.92	0	0	5791.612685	25435.74323	1265.466018	0.218909157	5507.734243	0.001173392	3.36765000000000e-319	4.79E-07	3155.383078	4.786470881	0.00E+00	67.01725581	0	0	0	0	4.25E-95
6	18100	4.223849274	4.072749475	0.004	17.08279941	3.45E-13	4.072749475	5408.154535	7.57E+05	1.97E+05	0.92	0	0	5791.585084	25435.74135	1265.470539	0.218910552	5507.734212	0.0011734	3.36765000000000e-319	4.79E-07	3155.383078	4.786470881	0	67.01726203	0	0	0	0	4.25E-95
7	13000	4.223849274	4.072732008	0.004	17.08283435	3.45E-13	4.072732008	5408.157798	7.57E+05	1.97E+05	0.92	0	0	5791.57654	25435.74075	1265.471939	0.218910978	5507.734211	0.001173403	3.36765000000000e-319	4.79E-07	3155.383078	4.786470881	0	67.0172624	0	0	0	0	4.25E-95
8	8900	4.223849274	4.0727266	0.004	17.08284517	3.45E-13	4.0727266	5408.158732	7.57E+05	1.97E+05	0.92	0	0	5791.573896	25435.74057	1265.472372	0.218911107	5507.734211	0.001173404	3.36765000000000e-319	4.79E-07	3155.383078	4.786470881	0	67.01726242	0	0	0	0	4.25E-95
9	5100	4.223849274	4.072724926	0.004	17.08284852	3.45E-13	4.072724926	5408.158998	7.57E+05	1.97E+05	0.92	0	0	5791.573077	25435.74051	1265.472506	0.218911146	5507.734211	0.001173404	3.36765000000000e-319	4.79E-07	3155.383078	4.786470881	0	67.01726242	0	0	0	0	4.25E-95
10	0	4.223849274	4.072725116	0.004	17.30606881	8.29E-13	4.072725116	5398.226035	7.57E+05	1.97E+05	0.92	0	0	5412.51758	26187.50585	1216.468291	13.13777354	5475.946572	0.002760754	3.36765000000000e-319	3.13E-05	3155.383078	4.786470881	4.38E-06	67.01726242	0	0	0	0	4.25E-95
																														
																														
																														
																														
																														
