-999	"MyLake model input data time series for Lake 227, accessed from https://github.com/biogeochemistry/ELA_MyLake_model. Documentation from R. Boysseu was unclear which date this was taken from"																													
Z (m)	Az (m2)	Tz (deg C)	Cz	Sz (kg/m3)	TPz (mg/m3)	DOPz (mg/m3)	Chlaz (mg/m3)	DOCz (mg/m3)	TPz_sed (mg/m3)	Chlaz_sed (mg/m3)	"Fvol_IM (m3/m3, dry w.)"	Hice (m)	Hsnow (m)	O2z	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4z (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 SiO4z (mg/m3)	 SiO2z (mg/m3)	 diatomz (mg/m3)	 POPz (mg/m3)
0	50000	0	0.000774312	0.004	0.051293938	2.96E-07	0.000774312	1637.332	7.57E+05	1.97E+05	0.92	0.389550844	0.108753628	10340.00393	21304.8605	2608.717869	0.016792201	5247.126037	3.07E-05	3.36765000000000e-319	2.15E-13	2000.487833	4.817666253	0	0.001201633	0	0	0	0	3.06064000000000e-319
1	41700	4.60706054	0.013627353	0.004	0.077285485	7.50E-07	0.013627353	1718.474595	7.57E+05	1.97E+05	0.92	0	0	9891.955189	23496.09319	2577.077796	0.045925825	5248.823944	7.61E-05	3.36765000000000e-319	2.31E-07	2000.489266	4.817666253	3.30E-13	0.099830468	0	0	0	0	3.06064000000000e-319
2	33000	4.60706054	0.014036998	0.004	0.077436036	7.20E-07	0.014036998	1721.008201	7.57E+05	1.97E+05	0.92	0	0	9891.541672	23609.14795	2577.807833	0.038808542	5248.796739	6.68E-05	3.36765000000000e-319	1.48E-07	2000.489276	4.817666253	2.12E-13	0.103473022	0	0	0	0	3.06064000000000e-319
3	28500	4.60706054	0.014051223	0.004	0.077424115	6.99E-07	0.014051223	1721.415099	7.57E+05	1.97E+05	0.92	0	0	9892.889159	23607.93218	2578.379803	0.034130951	5248.773445	6.07E-05	3.36765000000000e-319	9.41E-08	2000.489277	4.817666253	1.34E-13	0.103688827	0	0	0	0	3.06064000000000e-319
4	26000	4.60706054	0.014119626	0.004	0.078123389	7.17E-07	0.014119626	1723.443522	7.57E+05	1.97E+05	0.92	0	0	9883.268048	23640.00167	2577.073964	0.036464374	5248.829332	6.38E-05	3.36765000000000e-319	1.20E-07	2000.489321	4.817666253	1.72E-13	0.104529167	0	0	0	0	3.06064000000000e-319
5	23100	4.599019034	0.022316092	0.004	0.107190613	1.11E-06	0.022316092	1756.015419	7.57E+05	1.97E+05	0.92	0	0	9496.923684	24991.35259	2531.674402	0.04848785	5250.790445	8.35E-05	3.36765000000000e-319	2.40E-07	2000.491236	4.817666253	3.43E-13	0.208161067	0	0	0	0	3.06064000000000e-319
6	18100	4.510017715	0.034558632	0.004	0.133428719	1.62E-06	0.034558632	1791.079274	7.57E+05	1.97E+05	0.92	0	0	9135.647708	26070.58792	2471.673263	0.056841523	5253.336669	9.90E-05	3.36765000000000e-319	3.18E-07	2000.492983	4.817666253	4.54E-13	0.389454352	0	0	0	0	3.06064000000000e-319
7	13000	4.447005139	0.041928967	0.004	0.147640232	2.17E-06	0.041928967	1807.157464	7.57E+05	1.97E+05	0.92	0	0	8915.113613	26559.83882	2413.640673	0.061321998	5255.769352	0.000108471	3.36765000000000e-319	3.59E-07	2000.493842	4.817666253	5.13E-13	0.53283626	0	0	0	0	3.06064000000000e-319
8	8900	4.419872886	0.046251097	0.004	0.15928973	3.19E-06	0.046251097	1814.998847	7.57E+05	1.97E+05	0.92	0	0	8695.135804	26955.82092	2343.57911	0.074512225	5258.708211	0.000129911	3.36765000000000e-319	5.02E-07	2000.494351	4.817666253	7.16E-13	0.648473337	0	0	0	0	3.06064000000000e-319
9	5100	4.416573031	0.047980123	0.004	0.166334473	4.58E-06	0.047980123	1818.307548	7.57E+05	1.97E+05	0.92	0	0	8526.491699	27225.04495	2285.721072	0.152919784	5261.132633	0.000235962	3.36765000000000e-319	1.40E-06	2000.494514	4.817666253	2.00E-12	0.706044032	0	0	0	0	3.06064000000000e-319
10	0	4.416482142	0.04806285	0.004	0.169263941	5.71E-06	0.04806285	1819.330663	7.57E+05	1.97E+05	0.92	0	0	8437.732318	27357.52715	2253.342694	0.395610263	5262.462298	0.000554809	3.36765000000000e-319	4.20E-06	2000.494519	4.817666253	5.99E-12	0.70889259	0	0	0	0	3.06064000000000e-319
